Document_ID1	Document_ID2	Similarity
7477	7494	0.8133
7484	14589	0.7694
7506	7627	0.7256
7516	7561	0.7482
7526	14606	0.7235
7530	7543	0.7082
7530	8797	0.7270
7530	9326	0.7141
7539	7580	0.7789
7546	7579	0.9179
7557	14599	0.7202
7575	9415	0.8335
7580	8792	0.7409
7603	7615	0.7093
7603	7617	0.7046
7603	11312	0.7288
7603	11317	0.7288
7603	11318	0.7325
7603	12636	0.7048
7605	11312	0.7078
7605	11317	0.7075
7605	11318	0.7078
7605	12636	0.7119
7608	7842	0.9074
7614	11317	0.7119
7614	11318	0.7207
7615	11311	0.7095
7615	11318	0.7119
7617	11282	0.7007
7617	11293	0.7171
7617	11312	0.7473
7617	11317	0.7735
7617	11318	0.7658
7617	12636	0.7597
7617	12637	0.7202
7621	8688	0.7138
7621	11293	0.7174
7621	11317	0.7194
7621	11318	0.7084
7621	12636	0.7100
7626	8553	0.7430
7627	8995	0.7136
7632	11222	0.9640
7654	12636	0.7336
7697	9048	0.7960
7754	14625	0.7682
7761	8504	0.7418
7791	7815	0.7082
7808	9996	0.7199
7809	7811	0.8235
7809	7818	0.8016
7811	7818	0.9619
7825	7841	0.9576
7860	8426	0.8621
7885	13926	0.8524
7906	7907	0.7313
7910	7939	0.7470
7914	11089	0.7650
7969	7972	0.8396
7972	8030	0.7725
7972	8355	0.7036
7972	10707	0.7353
7972	14655	0.7260
8030	8124	0.7238
8030	8355	0.7484
8030	10707	0.7288
8030	14655	0.7039
8118	8137	0.7657
8124	8153	0.7002
8124	8355	0.7151
8124	11082	0.7074
8130	12584	0.7390
8217	14701	0.7580
8281	8282	0.9661
8286	8288	0.8165
8293	8312	0.7214
8315	8321	0.7073
8342	8355	0.7092
8490	14303	0.7192
8498	14657	0.7036
8535	14302	0.7154
8551	8552	0.7571
8578	12636	0.7005
8585	8594	0.8117
8586	8587	0.7363
8591	14247	0.7050
8603	9992	0.7172
8606	8688	0.7066
8606	9992	0.7159
8606	11312	0.7006
8606	11317	0.7272
8606	11318	0.7177
8606	12636	0.7067
8606	12637	0.7070
8607	8734	0.9003
8643	8729	0.9651
8688	9992	0.7107
8688	11293	0.7044
8688	11317	0.7097
8688	11318	0.7086
8688	12636	0.7540
8688	12637	0.7233
8690	8722	0.7361
8696	8706	0.7270
8696	8707	0.8200
8696	8714	0.7260
8696	8716	0.7702
8696	8719	0.7685
8696	10874	0.7111
8698	8708	0.7377
8707	8714	0.7078
8707	8716	0.7733
8707	8719	0.7648
8707	10874	0.7020
8714	8716	0.7766
8714	8719	0.8144
8716	8719	0.8847
8719	10874	0.7022
8722	8735	0.7733
8727	14710	0.7572
8748	11281	0.7943
8763	10878	0.7203
8763	10879	0.7336
8765	8776	0.7076
8780	8784	0.9010
8795	11471	0.8431
8795	11476	0.7888
8795	11478	0.8518
8795	11487	0.7025
8797	9326	0.7443
8807	9340	0.7246
8842	8843	0.7426
8880	14727	0.7857
8900	8901	1.0000
8902	8907	0.9422
8920	8926	0.7114
8943	13347	0.7783
8961	8962	0.8199
8986	14733	0.7530
8994	14724	0.7838
8998	9011	0.7200
9020	9021	0.7020
9029	9054	0.8561
9052	9096	0.8591
9052	9112	0.7335
9101	9108	0.7015
9102	9112	0.7133
9103	9113	0.7295
9103	9340	0.7025
9112	9340	0.7281
9123	9128	0.7329
9144	9190	0.9026
9331	10243	0.7090
9431	9446	0.7731
9473	12928	0.8983
9478	9480	0.9951
9492	9526	0.7150
9626	9628	0.7278
9626	9638	0.7079
9628	9638	0.7599
9636	14070	0.7082
9643	9684	0.7205
9692	10946	0.7568
9693	9694	0.7268
9711	9720	0.7506
9717	9720	0.7783
9721	11058	0.7325
9721	13082	0.7257
9798	9807	0.7231
9812	14785	0.8346
9821	9825	1.0000
9883	9891	0.7808
9930	12837	0.7035
9930	14070	0.7482
9930	14698	0.7514
9946	9963	0.7054
9947	9948	0.9143
9947	9956	0.7206
9947	9970	0.7231
9947	14802	0.7411
9948	9956	0.7589
9948	9970	0.7426
9948	14802	0.7612
9956	9970	0.7815
9956	14802	0.8021
9963	9969	0.9034
9963	9976	0.7228
9964	9976	0.7627
9968	9978	0.7629
9969	9976	0.7271
9970	14802	0.8747
9972	9974	0.9421
9992	12636	0.7112
10038	14788	0.7611
10080	14814	0.7160
10097	10098	0.8125
10097	10099	0.8116
10098	10099	0.7407
10146	14823	0.7032
10173	10174	0.7731
10348	10357	0.7237
10404	10419	0.7372
10417	10435	0.7689
10421	10430	0.7119
10435	10452	0.7553
10436	10449	0.7040
10457	11017	0.7630
10476	10477	0.7763
10572	10584	0.7157
10573	10595	0.7222
10590	10609	0.8195
10666	11081	0.7058
10682	10761	0.8421
10693	10723	0.7147
10693	10725	0.9495
10707	14655	0.7584
10721	10737	0.7506
10721	10753	0.7237
10723	10725	0.7327
10737	10745	0.7399
10737	10753	0.7314
10745	10753	0.7209
10760	10780	0.7197
10760	10785	0.7081
10760	14002	0.7371
10760	14853	0.7697
10765	10766	0.7141
10780	10785	0.7227
10780	14002	0.7240
10780	14853	0.7024
10785	14002	0.7657
10785	14853	0.7188
10815	10822	0.7867
10888	14691	0.7015
10950	14169	0.8705
11010	14834	0.7564
